"Année","Président","Thème d'écrit","Sujet Dissertation thème","Sujet Dissertation Hors programme","Sujet Dissertation Hors Programme 2","Auteur Ecrit 1","Auteur Ecrit 2","Auteur Ecrit 3","Sujet Auteur Ecrit","Auteur Français 1","Titre Français 1","Section Français 1","Année Français 1","Auteur Français 2","Titre Français 2","Section Français 2","Année Français 2","Auteur  Grec","Titre Grec","Section Grec","Année Grec","Auteur Latin","Titre Latin","Section Latin","Année Latin","Auteur Allemand","Titre Allemand","Section Allemand","Année Allemand","Auteur Anglais","Titre Anglais","Section Anglais","Année Anglais","Auteur Arabe","Titre Arabe","Section Arabe","Année Arabe","Auteur Italien","Titre Italien","Section Italien","Année Italien"
"1975","","La société","","Le fond et la forme.","","L'épicurisme antique","Kant","Bachelard","Bachelard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1976","","La vie et la mort","","Peut-on définir les conditions d'une lecture pertinente d'un texte philosophique ?","","L'épicurisme antique","Descartes","Nietzsche","Descartes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1977","","Théorie et pratique","","Quelle peut être aujourd'hui la valeur philosophique de l'idée de progrès ?","","Aristote","Descartes","Nietzsche","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1978","","L’idée d’ordre","","La haine de la raison.","","Aristote","Leibniz","Schopenhauer","Schopenhauer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1979","","Le temps","L’instant.","Peut-on penser philosophiquement la pluralité des philosophes ?","","Les Stoïciens","Leibniz","Schopenhauer","Sénèque","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1980","","Art et nature","Penser la nature comme la grande artiste.","La sensibilité.","","Les Stoïciens","Pascal","Hegel","Hegel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1981","","La morale","L’expérience morale, révélatrice de l’être?","La paix.","","Platon","Pascal","Hegel","Platon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1982","","La méthode","Le pluralisme en matière de méthode.","Le commencement.","","Platon","Hobbes","Kant","Kant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1983","","Le rationnel et l’irrationnel","Y a-t-il un irrationnel absolu?","L'individu.","","Plotin","Hobbes","Kant","Kant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1984","","Le droit","La vie du droit.","Sauver les phénomènes.","","Plotin","Spinoza","Rousseau","Spinoza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1985","","L’histoire","Que gagne le savoir historique à être un savoir de lui-même?","L'ontologie.","","Aristote","Spinoza","Rousseau","Spinoza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1986","","La matière, le matérialisme","La matière, est-ce l’informe?","Peut-on reprocher à la philosophie de dépasser l'expérience ?","","Aristote","Malebranche","Hegel","Aristote","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1987","","Image, imagination, imaginaire","Image et langage.","L'événement.","","Platon","Malebranche","Hegel","Malebranche","Cournot","Matérialisme, vitalisme, rationalisme","","1875.0","Descartes","Règles pour la direction de l'esprit","","1628.0","Aristote","Ethique à Nicomaque","I-III","-322.0","Spinoza","Ethique","IV","1677.0","Husserl","L'idée de la phénoménologie","","1907.0","Hume","Dialogues sur la religion naturelle","","1779.0","Théologie d'Aristote","Théologie d'Aristote","","840.0","","","",""
"1988","Jean-Claude Pariente","L'action et ses fins : la morale, la politique","La politique est-elle une dimension de toute action ou a-t-elle un domaine propre?","Peut-on s'affranchir de la subjectivité ?","","Platon","Descartes","Nietzsche","Nietzsche","Merleau-Ponty","Le visible et l'invisible","","1964.0","Condillac","Traité des animaux","","1755.0","Plotin","Ennéades "," III, 7 et 8","270.0","Sénèque","Lettres à Lucilius","90, 94, 95","65.0","Schelling","Sur l'essence de la liberté humaine","","1809.0","Locke","Essai sur l'entendement humain","VI, 1-11","1689.0","Averroès","Commentaire moyen aux Catégories","","1164.0","","","",""
"1989","Jean-Claude Pariente","La vie","La vie comme problème pour le vivant.","Le possible et l'impossible.","","Les Stoïciens","Descartes","Nietzsche","Descartes","Fichte","Considérations sur la Révolution française","","1794.0","Leibniz;Arnauld","Correspondance","","1690.0","Platon","Protagoras","","-394.0","Anselme","Proslogion","","1078.0","Husserl","Recherches logiques","I","1900.0","John Stuart Mill","L'utilitarisme","","1861.0","Théologie d'Aristote","Théologie d'Aristote","","840.0","","","",""
"1990","Jean-Pierre Séris","L'expression","Toute expression est-elle d’essence métaphysique?","La pensée est-elle une activité assimilable à un travail ?","","Les Stoïciens","Kant","Bergson","Kant","Aron","Introduction à la philosophie de l'histoire","","1946.0","Diderot","Pensées sur l'interprétation de la nature","","1754.0","Aristote","Métaphysique, Delta","","-322.0","Lucrèce","De la nature","III","-70.0","Schopenhauer","Sur les fondements de la morale","III et V","1840.0","Berkeley","Principes de la connaissance humaine","","1710.0","Averroès","Commentaire moyen aux Catégories","","1164.0","","","",""
"1991","?","La loi","La rigueur des lois.","Ici et maintenant.","","Plotin","Kant","Bergson","Bergson","Comte","Cours de philosophie positive","","1842.0","Spinoza","Traité de la réforme de l'entendement","","1677.0","Epicure","Lettre à Hérodote","","-300.0","Augustin","Le maître","","388.0","Hegel","Encyclopédie des sciences philosophiques en abrégé","""Concept Préliminaire""","1830.0","Wittgenstein","Le cahier bleu","","1934.0","Théologie d'Aristote","Théologie d'Aristote","","840.0","","","",""
"1992","?","Le sensible","Le sensible, est-ce l’incommunicable?","Le mérite.","","Plotin","Rousseau","Hegel","Plotin","Sartre","L'être et le néant","III et IV","1943.0","Montesquieu","L'esprit des lois","I-VIII","1748.0","Platon","Alcibiade","","-394.0","Cicéron","De la nature des dieux","II","-45.0","Schiller","Sur l'éducation esthétique des humains","I-XVI","1795.0","Hume","Traité de la nature humaine","III","1740.0","Al Farabi","L'accession à la félicité","","950.0","","","",""
"1993","?","Le travail","Le travail est-il le champ de l’hétéronomie?","L'idée de monde.","","L'épicurisme antique","Rousseau","Hegel","Hegel","Duhem","La théorie physique","II, 1-6","1906.0","Descartes","Principes de la philosophie","II","1644.0","Sextus Empiricus","Esquisses pyrrhoniennes","II","300.0","Kant","Dissertation de 1770","","1770.0","Nietzsche","Par delà le bien et le mal","I-III","1886.0","Burke","Idées sur le Sublime et le Beau","II-IV","1757.0","Averroès","L'incohérence de l'incohérence","","1181.0","","","",""
"1994","?","La mesure","La mesure : le même et l’autre.","Surface et profondeur.","","L'épicurisme antique","Leibniz","Husserl","Leibniz","Bayle","Pensées diverses sur la comète","I, p. 1-278","1680.0","Montaigne","Essais","II 12 (""Apologie de Raymond Sebon"")","1580.0","Aristote","De la génération et de la corruption","","-322.0","Sénèque","De la vie heureuse","","58.0","Kant","Idée d'une histoire universelle d'un point de vue cosmopolitique","","1784.0","Hobbes","Leviathan","Intro et XI-XXI","1651.0","Razi","La Médecine spirituelle","","900.0","","","",""
"1995","?","La paix","L’état de paix constitue-t-il une norme ou une exception?","La représentation.","","Platon","Leibniz","Husserl","Husserl","Politzer","Critique des fondements de la psychologie","","1928.0","Malebranche","Conversations chrétiennes","","1677.0","Marc Aurèle","Pensées pour moi-même","VII-XII","180.0","Thomas d'Aquin","De l'être et de l'essence","","1256.0","Heidegger","Être et Temps","[-§13]","1927.0","Russell","La philosophie de l'atomisme logique","","1918.0","Ibn Tufayl","Le philosophe autodidacte","","1180.0","","","",""
"1996","Jean-François Marquet","Le temps","Temps et irréversibilité.","Y a-t-il une expérience métaphysique ?","","Platon","Berkeley","Kant","Platon","Maine de Biran","Mémoire sur la décomposition de la pensée","","1802.0","Rousseau","Emile","IV","1762.0","Plotin","Ennéades","V, 8","270.0","Spinoza","Ethique","V","1677.0","Fichte","La destination de l'être humain","II et III","1799.0","Locke","Second traité du gouvernement","","1689.0","Avicenne","De la genèse et du retour","","1020.0","","","",""
"1997","Jean-François Marquet","La liberté","La liberté comporte-t-elle des degrés ?","Mythe et vérité.","","Aristote","Berkeley","Kant","Berkeley","Bergson","Matière et mémoire","","1896.0","Leibniz","Discours de Métaphysique","","1686.0","Platon","Gorgias","","-394.0","Lucrèce","De la nature","II","-70.0","Hegel","Phénoménologie de l'Esprit","Préface et Introduction","1807.0","Hume","Enquête sur l'entendement humain","","1748.0","Avempace","Le régime du solitaire","","1130.0","","","",""
"1998","Bernard Bourgeois","La vérité","La reconnaissance de la vérité.","L'action.","","Aristote","Spinoza","Nietzsche","Spinoza","Ravaisson","De l'habitude","","1838.0","D'Alembert","Essai sur les éléments de Philosophie","","1759.0","Epictète","Entretiens","III, 20-26","135.0","Descartes","Méditations","IV-VI","1641.0","Husserl","Méditations cartésiennes","I-IV","1931.0","Whitehead","Procès et réalité","[-II, 3]","1929.0","Frères de la pureté","Epitre sur les opinions et les religions","","900.0","","","",""
"1999","Bernard Bourgeois","L'art","Le monde des arts.","La connaissance du singulier.","","Plotin","Spinoza","Nietzsche","Spinoza","Canguilhem","Le normal et le pathologique","","1943.0","Machiavel","Le prince","","1532.0","Platon","Le Politique","","-370.0","Cicéron","Des fins","III","-45.0","Kant","Critique de la raison pure","Doctrine transcendantale de la méthode","1781.0","Hobbes","Les éléments de la loi, naturelle et politique","I","1640.0","Al Farabi","Idées des habitants de la cité vertueuse","","950.0","","","",""
"2000","Claudine Tiercelin","La métaphysique","La métaphysique : une histoire de mots ?","La recherche de l'identité.","","Plotin","Descartes","Fichte","Descartes","Comte","Discours sur l'ensemble du positivisme","","1848.0","Diderot","Lettre sur les aveugles","","1749.0","Aristote","Physique","IV","-322.0","Augustin","Le maître","","388.0","Marx","Sur la Critique de la philosophie du droit de Hegel","","1844.0","Berkeley","Trois dialogues entre Hylas et Philonous","","1713.0","Averroès","Epitome de la Métaphysique","","1161.0","","","",""
"2001","Claudine Tiercelin","La nature","La nature est-elle un ensemble de lois ?","Juger.","","Platon","Descartes","Fichte","Platon","Poincaré","La science et l'hypothèse","","1902.0","Rousseau","Le contrat social","","1762.0","Sextus Empiricus","Esquisses pyrrhoniennes","I","300.0","Abélard","Des intellections","","1142.0","Frege","Sens et dénotation; Concept et objet; La pensée","","1918.0","Rawls","Théorie de la justice","","1971.0","Maimonide","Guide des égarés","III","1190.0","","","",""
"2002","Claudine Tiercelin","La justice","La vertu de justice.","L'incertitude.","","Platon","Leibniz","Russell","Leibniz","Condillac","Essai sur l'origine des connaissances humaines","","1746.0","Tocqueville","De la démocratie en Amérique","II, 3 et 4","1840.0","Théophraste","Métaphysique","","","Bacon","Novum Organum","I","1620.0","Schopenhauer","Le Monde comme volonté et comme représentation","I-II","1819.0","Locke","Essai sur l'entendement humain","IV","1689.0","Avempace","Traité de l'âme","","1130.0","","","",""
"2003","Claudine Tiercelin","La volonté","Comment la volonté peut-elle être indéterminée?","Faits et valeurs.","","L'épicurisme antique","Leibniz","Russell","Russell","Durkheim","Sociologie et Philosophie","","1898.0","Arnauld","Des vraies et des fausses idées","","1683.0","Platon","Protagoras","","-394.0","Anselme","De veritate","","1086.0","Heidegger","Qu'est-ce que la métaphysique ?","","1929.0","Sidgwicz","La méthode de l'éthique","IV et conclusion","1874.0","Frères de la pureté","Epitre sur les opinions et les religions","","900.0","","","",""
"2004","Vincent Carraud","Le corps et l'esprit","Penser requiert-il un corps ?","L'égalité des citoyens.","","Aristote","Locke","","Locke","Bergson","Les deux sources de la morale et de la religion","","1932.0","Montesquieu","De l'esprit des lois;Défense de l'Esprit des lois","","1748.0","Alexandre d'Aphrodise","Traité du destin","","200.0","Thomas d'Aquin","De l'unité de l'intellect contre les Averroïstes","","1270.0","Kant","Critique de la raison pratique","","1788.0","Quine","La poursuite de la vérité","","1990.0","Avicenne","Psychologie et métaphysique","","1020.0","Galilée","Dialogue sur les deux grands systèmes du monde","journées 1 et 2","1632.0"
"2005","Vincent Carraud","La propriété : le propre, l'appropriation","Avoir.","Ordre, nombre, mesure.","","Augustin","Hegel","","Augustin","Rousseau","Emile ou De l'éducation","","1762.0","Husserl","La crise des sciences européennes et la phénoménologie transcendantale","","1936.0","Platon","Philèbe","","-370.0","Cicéron","De la nature des dieux","","-45.0","Meinong","Sur la théorie de l'objet","","1904.0","Hume","Traité de la nature humaine","I","1739.0","Averroès","L'incohérence de l'incohérence","I et II","1181.0","Croce","L'esthétique comme science de l'expression et linguistique générale","I","1902.0"
"2006","Vincent Carraud","La connaissance des choses : définition, description, classification","Connaître les choses, en quoi est-ce déterminer leurs différences ?","L'actualité.","","Spinoza","Heidegger","","Spinoza","Montaigne","Les essais","","1580.0","Platon","Les lois","","-350.0","Aristote","Petits traités sur la sensation","","-322.0","Ockham","Somme logique","I","1323.0","Clausewitz","De la guerre","I, II, VIII","1832.0","Strawson","Individus","","1959.0","Ibn Tufayl","Le philosophe autodidacte","","1180.0","Leopardi","Petites œuvres morales","","1827.0"
"2007","Vincent Carraud","L'action : délibérer, décider, accomplir","L’action requiert-elle décision d’un sujet?","La parole.","","Les Stoïciens","Nietzsche","","Nietzsche","Malebranche","De la recherche de la vérité","I","1675.0","Wittgenstein","Recherches philosophiques","","1953.0","Platon","Gorgias","","-394.0","Lucrèce","De la nature","IV","-70.0","Husserl","Recherches Logiques","I, 2 (""Expression et signification"")","1900.0","Adam Smith","Théorie des sentiments moraux","I-III","1759.0","Al Farabi","Livre des lettres","I et II","950.0","Beccaria","Des délits et des peines","","1765.0"
"2008","Denis Kambouchner","L'image","Peut-on dire d’une image qu’elle parle?","Pourquoi y a-t-il plusieurs philosophies ?","","Aristote","Pascal","","Pascal","Bergson","L'évolution créatrice","","1907.0","Kant","Critique de la raison pure","","1781.0","Plotin","Ennéades","IV, 7-9","270.0","Thomas d'Aquin","La vérité","","1257.0","Marx","Capital","[-ch. V]","1867.0","John Stuart Mill","Considérations sur le gouvernement représentatif","","1861.0","Al Kindi","Livre de la philosophie première","","840.0","Dante","Le Banquet","I et II","1307.0"
"2009","Denis Kambouchner","L'individu","Individuation et identité.","La clarté.","","Platon","Hume","","Platon","Leibniz","Nouveaux essais sur l'entendement humain","","1704.0","Husserl","Idées directrices pour une phénoménologie","I","1913.0","Pseudo-Longin","Du sublime","","50.0","Anselme","Du libre arbitre;De la chute du diable","","1086.0","Dilthey","L'édification du monde historique dans les sciences de l'esprit","","1910.0","Moore","Principia Ethica","","1903.0","Avicenne","Lettre au Vizir Abû Sa’d;Du Décret [divin].","","1020.0","Vico","Principes de la science nouvelle","I et conclusions","1725.0"
"2010","Denis Kambouchner","L'expérience","La réflexion sur l’expérience participe-t-elle de l’expérience?","Tradition et raison.","","Aristote","Wittgenstein","","Aristote","Descartes","Principes de la philosophie","","1644.0","Thomas d'Aquin","Somme contre les gentils","II, ""La Création""","1265.0","Porphyre","De l'abstinence","II et III","300.0","Cicéron","De Oratore","III","-55.0","Herder","Une autre philosophie de l'histoire","","1774.0","Hobbes","Les éléments de la loi, naturelle et politique","","1640.0","Yahya Ibn Adi"," Réponse à Abu al-Jaysh al-Nahwi sur l’infinité du nombre;Réfutation de la doctrine des actes créés par Dieu et acquis par l’homme;Réponses à Bishr al-Yahudi sur différentes questions philosophiques;Sur la nature du possible;Traité de l’unité divine","","970.0","Machiavel","Discours sur la première décade de Tite-Live","III","1531.0"
"2011","Denis Kambouchner","L'histoire","D’où vient que l’histoire soit autre chose qu’un chaos ?","La force des idées.","","Cicéron","Kant","","Kant","Lévinas","Totalité et infini","","1961.0","Bacon","Du progrés et de la promotion des savoirs","","1605.0","Platon","Le Politique","","-370.0","Ficin","Commentaire sur le Banquet de Platon;De l'Amour;Discours",";;III-VI","1469.0","Weber","Le savant et le politique","","1919.0","James","Les principes de la psychologie","II, 24-26","1890.0","Al Farabi","Sur la rhétorique (Kitâb al-Khatâba)","","950.0","Bruno","De la cause, une et principale","","1584.0"
"2012","Renaud Barbaras","L'animal","Le monde de l’animal.","L'intuition.","","Plotin","Rousseau","","Plotin","Arnauld;Nicole","La Logique ou l'art de penser","","1662.0","Hegel","Principes de la philosophie du droit","","1820.0","Sextus Empiricus","Esquisses pyrrhoniennes","III","300.0","Boèce","La consolation de philosophie","III-V","524.0","Heidegger","Qu'appelle-t-on penser ?","Deuxième partie","1952.0","Goodman","Manières de faire des mondes","","1978.0","Al Shahrastani","L'enseignement d'Avicenne en métaphysique","","1140.0","Castiglione","Livre du courtisan","IV","1528.0"
"2013","Renaud Barbaras","La forme","De quoi la forme est-elle la forme?","La finitude.","","Hobbes","Bergson","","Hobbes","Duhem","La théorie physique","","1906.0","Platon","Le Sophiste","","-370.0","Marc Aurèle","Pensées pour moi-même","XII","180.0","Augustin","De la trinité","VIII-XI","416.0","Fichte","Initiation à la vie bienheureuse","","1793.0","Berkeley","Trois dialogues entre Hylas et Philonous","","1713.0","Avempace","L'épitre de l'adieu;Discours sur la conjonction de l'intellect avec l'homme","","1130.0","Gramsci","Anthologie 1914-1935","","1935.0"
"2014","Renaud Barbaras","La négation","L’origine de la négation.","la méthode.","","Les atomistes antiques","Descartes","","Les atomistes antiques (Lucrèce)","Ruyer","Néo-finalisme","","1952.0","Maine de Biran","Mémoire sur la décomposition de la pensée","","1802.0","Aristote","Rhétorique","II","-322.0","Pomponazzi","Traité de l'immortalité de l'âme","","1516.0","Benjamin","La tâche du traducteur; Sur le pouvoir d'imitation; Destin et caractère; Sur la critique; Pour une critique de la violence; Fragments théologico-politique; Expérience et pauvreté; Sur le concept d'histoire","","1940.0","Anscombe","Intention","","1957.0","Averroès","Discours décisif","","1179.0","Luigi Pareyson","Vérité et interprétation","[-2]","1971.0"
"2015","Paul Mathias","Le phénomène","Qu’est-ce qui apparaît?","Les normes.","","Platon","Marx","","Marx","Sartre","L'être et le néant","III et IV","1943.0","Leibniz","Discours de métaphysique et Correspondance avec Arnauld","","1680.0","Plotin","Ennéades","III, 7","270.0","Duns Scot","Ordinatio","II, dist. 3, p. 1 (""Le principe d'individuation"")","1300.0","Hegel","Phénoménologie de l'Esprit","VII, La religion; VIII, L'esprit absolu","1807.0","John Stuart Mill","Logique","VI","1843.0","Al Farabi","L'accession à la félicité","","950.0","Dante","Le Banquet","IV","1307.0"
"2016","Paul Mathias","La réflexion","L’objet de la réflexion.","Qu'est-ce que gouverner ?","","Aristote","Spinoza","","Spinoza","Malebranche","Entretiens sur la métaphysique, sur la religion et sur la mort","","1711.0","Rawls","Théorie de la justice","","1971.0","Platon","Phèdre","","-375.0","Sénèque","De la providence;De la constance du sage;De la tranquilité de l'âme","","58.0","Kant","Critique de la raison pure","Doctrine transcendantale de la méthode","1781.0","Dewey","Le public et ses problèmes","","1927.0","Al Ghazali","L'incohérence des philosophes","II, 17-20","1093.0","Galilée","L'essayeur","","1623.0"
"2017","Paul Mathias","Le monde","Habiter le monde.","La recherche de la vérité.","","Augustin","Hume","","Hume","Foucault","L'archéologie du savoir","","1969.0","Pascal","Pensées, opuscules et lettres","","1669.0","Epicure","Lettres","","-300.0","Nicolas de Cues","Le pouvoir-est","","1460.0","Husserl","Méditations cartésiennes","","1931.0","Hobbes","Leviathan","I et II","1651.0","Al Farabi","La Politique civile","","950.0","Leopardi","Petites œuvres morales","","1827.0"
"2018","Paul Mathias","Travail - Techniques - Production","Les machines.","Langage et réalité.","","Les Stoïciens","Leibniz","","Les Stoïciens (Epictète)","Merleau-Ponty","Phénoménologie de la perception","","1945.0","Condillac","Essai sur l'origine des connaissances humaines","","1746.0","Sextus Empiricus","Contre les moralistes","","300.0","Thomas d'Aquin","La Royauté, au roi de Chypre","","1274.0","Feuerbach","L'essence du christianisme","Deuxième partie","1841.0","Putnam","Raison, vérité et histoire","1-6","1984.0","Ibn Khaldoun","Discours sur l'histoire universelle","2025-01-01 00:00:00","1375.0","Machiavel","Discours sur la première décade de Tite-Live","I","1531.0"
"2019","Isabelle Pariente-Butterlin","Le temps","Considère-t-on jamais le temps en lui-même?","La simplicité.","","Locke","Hegel","","Locke","Descartes","Méditations métaphysiques - Objections et Réponses","","1641.0","Lucrèce","De la nature des choses","","-70.0","Platon","Philèbe","","-370.0","Cicéron","De la nature des Dieux","I","-45.0","Carnap","La construction logique du monde","I-III","1928.0","Peirce","Le pragmatisme","","1870.0","Averroès","L'incohérence de l'incohérence","I et II","1181.0","Beccaria","Des délits et des peines","","1765.0"
"2020","Isabelle Pariente-Butterlin","La représentation","Qu'est-ce qu'une représentation réussie ?","Qu'apprenons-nous de nos affects ?","","Platon","Nietzsche","","Platon","Bergson","La pensée et le mouvant","","1934.0","Rousseau","Emile ou De l'éducation","","1762.0","Aristote","Poétique","","-322.0","Spinoza","Traité de la réforme de l'entendement","","1677.0","Simmel","Philosophie de l'argent","ch. 1 et 2","1900.0","Adam Smith","Théorie des sentiments moraux","I-IV","1759.0","Ibn Tufayl","Le philosophe autodidacte","","1180.0","Croce","Bréviaire d'esthétique","I-IV","1913.0"
"2021","Isabelle Pariente-Butterlin","Le commun","Les choses ont-elles quelque chose en commun ?","Que peut le droit ?","","Aristote","Diderot","","Diderot","Lévi-Strauss","Anthropologie structurale","I","1958.0","Spinoza","Traité Théologico-politique","","1670.0","Theophraste","Caractères","","-319.0","Erasme","L'éducation du prince chrétien","","1516.0","Adorno","Minima Moralia","","1951.0","David Ross","The Right and the Good","","1930.0","Al Farabi","L'harmonie entre les opinions de Platon et d'Aristote","","950.0","Giovanni Botero","De la raison d'Etat","I-IV","1589.0"
"2022","Frank Burbage","Le principe","L'usage des principes.","Être sensible.","","Hobbes","Wittgenstein","","Hobbes","Cournot","Matérialisme, vitalisme, rationalisme","","1875.0","Aristote","Ethique à Nicomaque","","-322.0","Epictète","Entretiens","II","135.0","Sénèque","Lettres à Lucilius","89-95","65.0","Stirner","L'unique et sa propriété","","1844.0","Hume","Enquête sur l'entendement humain","","1748.0","Maimonide","Guide des égarés","I, 68-76","1190.0","Giuseppe Rensi","La philosophie de l'absurde","I-V","1937.0"
"2023","Frank Burbage","Le corps","Le commerce des corps.","L'égalité.","","Cicéron","Kant","","Cicéron","Bayle","Pensées diverses sur la Comète","","1680.0","Hegel","Principes de la philosophie du droit","","1820.0","Plotin","Ennéades","VI, 7","270.0","Henri de Gand","Summa","Proemium, I, 1-3","1292.0","Ernst Bloch","Le principe espérance","Préface, 1-8, 17-19","1954.0","Arendt","La crise de la culture","","1954.0","Avicenne","De la Métaphysique;Du livre de la guérison","I;","1020.0","Galilée","Lettres"," I, 1-3 et III, 2","1642.0"
